CodigoMateria,CodigoParlamentar,DataApresentacao
126231,5533,2016-10-31
126231,5533,2016-10-31
126231,3634,2016-10-31
126231,4763,2016-10-31
126231,4763,2016-10-31
126231,4763,2016-10-31
126231,4763,2016-10-31
126231,4763,2016-10-31
126231,4763,2016-10-31
126231,4763,2016-10-31
126231,4763,2016-10-31
126231,4763,2016-10-31
126231,4763,2016-10-31
126231,4763,2016-10-31
126231,4763,2016-10-31
126231,5533,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,846,2016-10-31
126231,3361,2018-11-07
126232,5182,2017-07-13
126232,5182,2017-07-13
126306,345,2021-09-30
126364,2331,2022-02-07
126364,5976,2022-02-09
126372,5182,2017-07-13
126376,5982,2021-09-02
126376,5982,2021-09-02
126483,4560,2016-11-23
126483,4560,2016-11-23
126575,4988,2016-08-10
126583,345,2019-07-11
126583,345,2019-07-11
126704,825,2023-10-18
126837,5070,2018-11-20
126837,4531,2019-08-20
126944,6009,2023-09-20
126944,6009,2023-09-20
126964,73,2018-02-07
126964,73,2018-02-07
127030,4606,2016-12-14
127030,4606,2016-12-14
127030,4606,2016-12-14
127030,4606,2016-12-14
127065,4981,2022-06-09
127072,5540,2018-02-06
127088,5012,2019-04-24
127088,5012,2019-04-24
127088,5012,2019-04-24
127165,5182,2017-12-13
127165,6027,2022-07-05
127235,4988,2016-12-14
127240,5112,2017-05-02
127240,374,2018-03-14
127240,1173,2021-08-05
127291,4990,2017-09-12
127291,4990,2017-09-12
127291,1249,2018-10-25
127291,2331,2022-05-16
127317,2331,2018-05-24
127519,5953,2019-10-09
127625,4981,2018-04-24
127673,5732,2020-02-12
127688,5523,2016-12-06
127688,677,2018-11-06
127688,3634,2018-11-07
127688,374,2018-11-13
127688,374,2018-11-13
127688,374,2018-11-13
127688,374,2018-11-13
127688,374,2018-11-13
127688,374,2018-11-13
127688,374,2018-11-13
127688,374,2018-11-13
127688,374,2018-11-13
127688,5008,2018-11-14
127688,5008,2018-11-14
127688,5008,2018-11-14
127688,5008,2018-11-14
127688,5008,2018-11-14
127688,5008,2018-11-14
127688,5008,2018-11-16
127734,1176,2017-09-28
127734,5012,2017-10-04
127734,5100,2017-10-10
127734,5100,2017-10-10
127734,5000,2017-10-10
127765,5979,2019-10-30
127766,5108,2017-12-14
127766,5108,2017-12-14
127790,5182,2017-12-13
127790,5182,2017-12-13
127790,5182,2017-12-13
127790,5182,2017-12-13
127790,5182,2017-12-13
127790,5182,2017-12-13
127806,5502,2023-10-17
127806,5502,2023-10-17
127806,5502,2023-10-17
127914,5979,2019-09-11
127933,4988,2017-02-10
127938,5523,2017-09-20
127938,5540,2017-10-10
127960,5783,2021-11-30
127960,5502,2021-12-15
127960,5502,2021-12-15
128087,5012,2017-05-31
128087,5535,2017-06-05
128095,5352,2019-05-29
128183,5537,2019-12-17
128219,5953,2022-02-22
